taxon_id	name	full_name	family	n_proteins	n_interactions
1671798	HPV54	Human papillomavirus type 54	Papillomaviridae	1	1
928304	LNYV	Lettuce necrotic yellows virus isolate 318	Rhabdoviridae	1	1
329641	Human bocavirus	Human bocavirus	Parvoviridae	1	1
3052503	TULV	Orthohantavirus tulaense	Hantaviridae	1	1
80341	EHV-3	Equid alphaherpesvirus 3	Orthoherpesviridae	1	1
419435	GfIV	Ichnoviriform fumiferanae	Polydnaviriformidae	1	1
45455	McGHV4	Macacine gammaherpesvirus 4	Orthoherpesviridae	1	1
1239567	MAstV3	Mamastrovirus 3	Astroviridae	1	1
3052331	WWAV	Mammarenavirus whitewaterense	Arenaviridae	1	1
322067	JV	J virus	Paramyxoviridae	1	1
37955	HPV23	Human papillomavirus 23	Papillomaviridae	1	1
3052308	IPPYV	Mammarenavirus ippyense	Arenaviridae	1	1
332179	SAdV-1	Human adenovirus 52	Adenoviridae	1	1
988776	AGyV2	Human gyrovirus 1	Anelloviridae	1	1
28871	TATPV	Taterapox virus	Poxviridae	1	1
557605	Simian virus 12 strain wt100	Simian virus 12 strain wt100	Polyomaviridae	1	1
490134	WMHBV	Hepatitis B virus Woolly monkey/Louisville	Hepadnaviridae	1	1
40538	HPV48	Human papillomavirus type 48	Papillomaviridae	1	1
271108	BmNPV	Bombyx mori nucleopolyhedrovirus	Baculoviridae	1	1
79699	Ovine respiratory syncytial virus (strain WSU 83-1578)	Ovine respiratory syncytial virus (strain WSU 83-1578)	Pneumoviridae	1	1
1399582	TMUV	Duck Tembusu virus	Flaviviridae	1	1
1307956	LeseNPV	Leucania separata nucleopolyhedrovirus	Baculoviridae	1	1
652599	PMV	Panicum mosaic virus strain Kansas 109S	Tombusviridae	1	1
1559361	TIBV	Tibrogargan virus strain CS132	Rhabdoviridae	1	1
648237	B19V	Human parvovirus B19 strain HV	Parvoviridae	1	1
186541	CIEBOV	Tai Forest ebolavirus	Filoviridae	1	1
69986	HPV77	Human papillomavirus 77	Papillomaviridae	1	1
10272	RFV	Rabbit fibroma virus (strain Kasza)	Poxviridae	1	1
260797	HvAV-3a	Heliothis virescens ascovirus 3e	Ascoviridae	1	1
1084715	PBoV3	Porcine bocavirus 3	Parvoviridae	1	1
1962501	AgseNPV-A	Agrotis segetum nucleopolyhedrovirus A	Baculoviridae	1	1
320432	ChchNPV	Chrysodeixis chalcites nucleopolyhedrovirus	Baculoviridae	1	1
128987	GCRV	Grass carp reovirus	Spinareoviridae	1	1
207830	MacoNPV-A	Mamestra configurata nucleopolyhedrovirus A	Baculoviridae	1	1
3052322	OLVV	Mammarenavirus oliverosense	Arenaviridae	1	1
1914447	APPeV	Atypical porcine pestivirus	Pestiviridae	1	1
341053	BeiV	Beilong virus	Paramyxoviridae	1	1
114102	FrAdV-1	Frog adenovirus 1	Adenoviridae	1	1
35304	BUNV	Bunyamwera virus	Peribunyaviridae	1	1
